external_id,entry_date,gl_code,dept_code,vendor,amount,memo,source
GL-2026-02-0001,2026-02-21,6820,ENG,Amazon Web Services,27288.32,Amazon Web Services AMA-202602-3782,ap
GL-2026-02-0002,2026-02-21,6820,DATA,Amazon Web Services,11370.14,Amazon Web Services AMA-202602-3782,ap
GL-2026-02-0003,2026-02-21,6820,PROD,Amazon Web Services,6822.08,Amazon Web Services AMA-202602-3782,ap
GL-2026-02-0004,2026-02-11,6820,ENG,Datadog,8653.44,Datadog DAT-202602-1226,ap
GL-2026-02-0005,2026-02-11,6820,DATA,Datadog,3708.62,Datadog DAT-202602-1226,ap
GL-2026-02-0006,2026-02-19,6820,ENG,Vercel,3212.70,Vercel VER-202602-8460,ap
GL-2026-02-0007,2026-02-19,6820,PROD,Vercel,803.17,Vercel VER-202602-8460,ap
GL-2026-02-0008,2026-02-04,6830,PROD,Figma,1104.33,Figma FIG-202602-4584,ap
GL-2026-02-0009,2026-02-04,6830,ENG,Figma,194.88,Figma FIG-202602-4584,ap
GL-2026-02-0010,2026-02-11,6830,ENG,Linear,538.60,Linear LIN-202602-5174,ap
GL-2026-02-0011,2026-02-11,6830,PROD,Linear,293.78,Linear LIN-202602-5174,ap
GL-2026-02-0012,2026-02-11,6830,DATA,Linear,146.89,Linear LIN-202602-5174,ap
GL-2026-02-0013,2026-02-12,6830,GA,Slack Technologies,784.07,Slack Technologies SLA-202602-8581,ap
GL-2026-02-0014,2026-02-12,6830,ENG,Slack Technologies,560.05,Slack Technologies SLA-202602-8581,ap
GL-2026-02-0015,2026-02-12,6830,GTM,Slack Technologies,560.05,Slack Technologies SLA-202602-8581,ap
GL-2026-02-0016,2026-02-12,6830,PROD,Slack Technologies,336.03,Slack Technologies SLA-202602-8581,ap
GL-2026-02-0017,2026-02-16,6830,ENG,GitHub,1525.43,GitHub GIT-202602-2924,ap
GL-2026-02-0018,2026-02-16,6830,DATA,GitHub,169.49,GitHub GIT-202602-2924,ap
GL-2026-02-0019,2026-02-21,6510,GA,WeWork,39500.00,WeWork WEW-202602-5306,ap
GL-2026-02-0020,2026-02-07,4010,GTM,,-99647.56,Product revenue - card settlements,ar
GL-2026-02-0021,2026-02-07,6410,GTM,Stripe,2890.08,Stripe processing fees,bank_fee
GL-2026-02-0022,2026-02-14,4010,GTM,,-113447.01,Product revenue - card settlements,ar
GL-2026-02-0023,2026-02-14,6410,GTM,Stripe,3290.26,Stripe processing fees,bank_fee
GL-2026-02-0024,2026-02-21,4010,GTM,,-89874.93,Product revenue - card settlements,ar
GL-2026-02-0025,2026-02-21,6410,GTM,Stripe,2606.67,Stripe processing fees,bank_fee
GL-2026-02-0026,2026-02-28,4010,GTM,,-80223.42,Product revenue - card settlements,ar
GL-2026-02-0027,2026-02-28,6410,GTM,Stripe,2326.78,Stripe processing fees,bank_fee
GL-2026-02-0028,2026-02-02,6010,ENG,Deel,13532.45,Deel DEE-202602-6664,ap
GL-2026-02-0029,2026-02-02,6010,DATA,Deel,7286.71,Deel DEE-202602-6664,ap
GL-2026-02-0030,2026-02-07,5010,OPS,Mouser Electronics,17636.15,Mouser Electronics MOU-202602-6388,ap
GL-2026-02-0031,2026-02-11,5010,OPS,Mouser Electronics,15541.09,Mouser Electronics MOU-202602-2481,ap
GL-2026-02-0032,2026-02-23,5010,OPS,Mouser Electronics,25017.38,Mouser Electronics MOU-202602-7557,ap
GL-2026-02-0033,2026-02-16,5010,OPS,Mouser Electronics,26025.85,Mouser Electronics MOU-202602-7907,ap
GL-2026-02-0034,2026-02-23,5010,OPS,Mouser Electronics,19575.53,Mouser Electronics MOU-202602-1679,ap
GL-2026-02-0035,2026-02-08,5010,OPS,Digi-Key Electronics,10413.57,Digi-Key Electronics DIG-202602-5121,ap
GL-2026-02-0036,2026-02-10,5010,OPS,Digi-Key Electronics,6411.81,Digi-Key Electronics DIG-202602-2898,ap
GL-2026-02-0037,2026-02-02,5010,OPS,Digi-Key Electronics,8339.88,Digi-Key Electronics DIG-202602-9165,ap
GL-2026-02-0038,2026-02-10,5010,OPS,Digi-Key Electronics,8650.82,Digi-Key Electronics DIG-202602-4772,ap
GL-2026-02-0039,2026-02-09,5010,OPS,Digi-Key Electronics,13264.97,Digi-Key Electronics DIG-202602-2171,ap
GL-2026-02-0040,2026-02-11,5020,OPS,Flexport,46532.96,Flexport FLE-202602-3258,ap
GL-2026-02-0041,2026-02-04,5020,OPS,Flexport,67541.59,Flexport FLE-202602-5421,ap
GL-2026-02-0042,2026-02-07,5020,OPS,Flexport,62372.87,Flexport FLE-202602-5155,ap
GL-2026-02-0043,2026-02-17,6610,GA,Cooley LLP,17929.17,Cooley LLP COO-202602-1282,ap
GL-2026-02-0044,2026-02-10,6610,GA,Cooley LLP,19514.89,Cooley LLP COO-202602-2028,ap
GL-2026-02-0045,2026-02-05,6610,GA,Cooley LLP,20939.87,Cooley LLP COO-202602-5895,ap
GL-2026-02-0046,2026-02-09,6610,GA,Cooley LLP,22671.96,Cooley LLP COO-202602-2676,ap
GL-2026-02-0047,2026-02-14,6610,GA,Deloitte,45513.58,Deloitte DEL-202602-5205,ap
