external_id,posted_date,description,amount,currency
BNK-2026-03-0037,2026-03-04,UNITED AIRLINES,-1285.24,USD
BNK-2026-03-0035,2026-03-06,UNITED 016 CHICAGO IL,-1986.64,USD
BNK-2026-03-0051,2026-03-06,FX CONVERSION SPREAD,-227.85,USD
BNK-2026-03-0009,2026-03-07,STRIPE TRANSFER ST-33895722,98045.19,USD
BNK-2026-03-0047,2026-03-07,WIRE TRANSFER FEE INTL,-37.21,USD
BNK-2026-03-0048,2026-03-07,ANALYSIS SERVICE CHARGE,-117.84,USD
BNK-2026-03-0045,2026-03-08,FX CONVERSION SPREAD,-270.19,USD
BNK-2026-03-0056,2026-03-08,RETURNED ITEM CHARGEBACK,-952.90,USD
BNK-2026-03-0043,2026-03-09,INTEREST EARNED - SWEEP,1671.99,USD
BNK-2026-03-0044,2026-03-09,RETURNED ITEM CHARGEBACK,-805.82,USD
BNK-2026-03-0052,2026-03-12,MONTHLY MAINTENANCE FEE,-31.43,USD
BNK-2026-03-0055,2026-03-13,INTEREST EARNED - SWEEP,2114.77,USD
BNK-2026-03-0010,2026-03-14,STRIPE TRANSFER ST-2201495,118364.72,USD
BNK-2026-03-0036,2026-03-14,UNITED AIRLINES,-3065.41,USD
BNK-2026-03-0032,2026-03-15,GUSTO PAYROLL 8AM-5PM,-200181.11,USD
BNK-2026-03-0040,2026-03-15,MONTHLY MAINTENANCE FEE,-30.96,USD
BNK-2026-03-0008,2026-03-16,WEWORK COMPANIES LLC,-39500.00,USD
BNK-2026-03-0041,2026-03-16,WIRE TRANSFER FEE INTL,-43.56,USD
BNK-2026-03-0054,2026-03-16,ANALYSIS SERVICE CHARGE,-132.33,USD
BNK-2026-03-0034,2026-03-20,UNITED AIRLINES,-1054.04,USD
BNK-2026-03-0011,2026-03-21,STRIPE TRANSFER ST-93097511,102660.93,USD
BNK-2026-03-0053,2026-03-21,WIRE TRANSFER FEE INTL,-42.04,USD
BNK-2026-03-0005,2026-03-22,LINEAR ORBIT INC,-938.03,USD
BNK-2026-03-0007,2026-03-22,MSFT * GITHUB,-1749.70,USD
BNK-2026-03-0042,2026-03-22,ANALYSIS SERVICE CHARGE,-113.83,USD
BNK-2026-03-0002,2026-03-23,DATADOG INC 866-329-4466,-13329.87,USD
BNK-2026-03-0015,2026-03-24,MOUSER ELECTRONICS 800-346,-15068.56,USD
BNK-2026-03-0016,2026-03-24,MOUSER ELECTRONICS 800-346,-25618.86,USD
BNK-2026-03-0028,2026-03-24,FLEXPORT INC SAN FRANCIS TRANCHE 1/2,-32881.70,USD
BNK-2026-03-0050,2026-03-24,RETURNED ITEM CHARGEBACK,-854.28,USD
BNK-2026-03-0019,2026-03-25,DIGIKEY ELECTRONICS,-5432.58,USD
BNK-2026-03-0049,2026-03-25,INTEREST EARNED - SWEEP,2307.44,USD
BNK-2026-03-0038,2026-03-27,GOOGLE *ADS,-15704.09,USD
BNK-2026-03-0046,2026-03-27,MONTHLY MAINTENANCE FEE,-42.30,USD
BNK-2026-03-0057,2026-03-27,FX CONVERSION SPREAD,-213.77,USD
BNK-2026-03-0058,2026-03-27,DEPOSIT IN TRANSIT - LOCKBOX,9771.29,USD
BNK-2026-03-0001,2026-03-28,AMZN WEB SVCS,-54837.36,USD
BNK-2026-03-0003,2026-03-28,VERCEL INC,-3713.43,USD
BNK-2026-03-0004,2026-03-28,"FIGMA, INC.",-1342.33,USD
BNK-2026-03-0006,2026-03-28,SLACK T SALESFORCE,-2141.94,USD
BNK-2026-03-0012,2026-03-28,STRIPE TRANSFER ST-458075,87536.60,USD
BNK-2026-03-0013,2026-03-28,"DEEL, INC. SEPA EUR23862.12",-26079.83,USD
BNK-2026-03-0014,2026-03-28,MOUSER ELECTRONI,-14395.14,USD
BNK-2026-03-0017,2026-03-28,MOUSER ELECTRONICS 800-346,-24051.11,USD
BNK-2026-03-0018,2026-03-28,MOUSER ELECTRONICS 800-346,-14132.33,USD
BNK-2026-03-0020,2026-03-28,DIGI-KEY CORP THIEF RIVER,-13926.50,USD
BNK-2026-03-0021,2026-03-28,FLEXPORT INC SAN FRANCIS TRANCHE 1/2,-30440.30,USD
BNK-2026-03-0023,2026-03-28,FLEXPORT INC SAN FRANCIS TRANCHE 1/2,-49765.63,USD
BNK-2026-03-0025,2026-03-28,"FLEXPORT, INC.",-46747.29,USD
BNK-2026-03-0026,2026-03-28,"FLEXPORT, INC. TRANCHE 1/2",-44286.94,USD
BNK-2026-03-0030,2026-03-28,COOLEY LLP OPERATING,-25471.60,USD
BNK-2026-03-0031,2026-03-28,COOLEY LLP OPERATING,-32618.57,USD
BNK-2026-03-0039,2026-03-28,IRON MTN,-491.05,USD
BNK-2026-03-0059,2026-03-28,ACH DEBIT PENDING VENDOR REF 88213,-3352.80,USD
BNK-2026-03-0029,2026-03-30,FLEXPORT INC SAN FRANCIS TRANCHE 2/2,-21921.13,USD
BNK-2026-03-0033,2026-03-30,GUSTO PAYROLL 8AM-5PM,-211312.71,USD
BNK-2026-03-0022,2026-04-03,FLEXPORT INC SAN FRANCIS TRANCHE 2/2,-20293.54,USD
BNK-2026-03-0024,2026-04-03,"FLEXPORT, INC. TRANCHE 2/2",-33177.08,USD
BNK-2026-03-0027,2026-04-03,FLEXPORT INC SAN FRANCIS TRANCHE 2/2,-29524.63,USD
